iter	Passed	Remaining
0	135	135439
1	136	68323
2	138	45976
3	139	34800
4	141	28202
5	143	23750
6	145	20590
7	146	18203
8	148	16316
9	149	14818
10	151	13586
11	152	12547
12	153	11665
13	154	10914
14	156	10263
15	157	9698
16	159	9197
17	161	8785
18	162	8390
19	163	8031
20	165	7712
21	166	7417
22	168	7149
23	169	6903
24	171	6679
25	172	6463
26	173	6264
27	175	6090
28	177	5933
29	178	5769
30	179	5617
31	180	5473
32	182	5339
33	183	5220
34	185	5107
35	186	4998
36	188	4903
37	190	4813
38	191	4726
39	193	4637
40	194	4550
41	195	4467
42	197	4396
43	198	4321
44	200	4249
45	201	4179
46	203	4122
47	204	4065
48	206	4006
49	207	3949
50	209	3896
51	210	3841
52	211	3787
53	213	3738
54	214	3688
55	216	3641
56	219	3625
57	220	3589
58	222	3546
59	223	3506
60	225	3465
61	226	3426
62	227	3388
63	229	3350
64	230	3315
65	231	3280
66	233	3251
67	235	3222
68	236	3196
69	238	3164
70	239	3138
71	241	3109
72	242	3082
73	243	3053
74	245	3027
75	250	3040
76	251	3017
77	253	2992
78	254	2971
79	256	2947
80	257	2922
81	258	2898
82	259	2868
83	260	2845
84	262	2828
85	264	2809
86	265	2789
87	267	2768
88	268	2751
89	270	2732
90	271	2713
91	272	2694
92	274	2674
93	275	2658
94	277	2646
95	279	2631
96	280	2614
97	282	2599
98	283	2583
99	285	2566
100	286	2549
101	287	2532
102	288	2516
103	290	2502
104	291	2488
105	293	2476
106	295	2465
107	296	2450
108	298	2437
109	299	2424
110	301	2412
111	302	2399
112	304	2386
113	305	2373
114	306	2362
115	308	2351
116	309	2339
117	311	2328
118	313	2318
119	314	2306
120	315	2295
121	317	2281
122	318	2272
123	320	2261
124	321	2249
125	322	2240
126	324	2228
127	325	2219
128	327	2211
129	328	2200
130	330	2190
131	331	2179
132	332	2169
133	334	2158
134	335	2148
135	339	2157
136	341	2149
137	342	2141
138	344	2132
139	345	2122
140	346	2112
141	347	2100
142	348	2090
143	350	2081
144	351	2072
145	353	2065
146	354	2056
147	355	2047
148	357	2041
149	358	2034
150	360	2025
151	361	2017
152	363	2010
153	364	2002
154	365	1994
155	369	1997
156	370	1989
157	371	1982
158	373	1974
159	374	1966
160	375	1956
161	377	1950
162	378	1943
163	379	1936
164	381	1929
165	382	1923
166	384	1916
167	385	1910
168	387	1903
169	388	1896
170	389	1889
171	391	1884
172	392	1877
173	394	1870
174	395	1864
175	398	1864
176	399	1858
177	401	1852
178	402	1846
179	403	1839
180	405	1833
181	406	1827
182	408	1822
183	409	1816
184	411	1810
185	413	1808
186	414	1803
187	416	1798
188	417	1793
189	419	1788
190	421	1784
191	422	1778
192	423	1772
193	425	1766
194	427	1763
195	429	1760
196	430	1754
197	431	1749
198	433	1744
199	434	1738
200	436	1734
201	437	1728
202	438	1722
203	440	1717
204	442	1715
205	443	1711
206	445	1706
207	446	1701
208	448	1695
209	449	1690
210	450	1684
211	451	1679
212	453	1673
213	454	1668
214	457	1672
215	459	1668
216	460	1663
217	462	1658
218	463	1654
219	465	1649
220	466	1644
221	467	1639
222	469	1634
223	470	1629
224	472	1626
225	473	1622
226	475	1618
227	476	1613
228	478	1610
229	479	1605
230	481	1601
231	482	1597
232	484	1594
233	485	1590
234	487	1586
235	489	1583
236	490	1579
237	492	1575
238	493	1571
239	494	1567
240	496	1562
241	497	1558
242	498	1553
243	500	1550
244	501	1546
245	503	1542
246	504	1538
247	505	1534
248	507	1529
249	508	1525
250	509	1520
251	510	1516
252	512	1512
253	513	1508
254	516	1508
255	517	1504
256	519	1500
257	520	1496
258	521	1492
259	522	1488
260	524	1484
261	525	1479
262	526	1475
263	528	1472
264	529	1468
265	530	1465
266	532	1462
267	534	1458
268	535	1454
269	536	1451
270	538	1447
271	539	1443
272	540	1440
273	542	1436
274	543	1433
275	546	1433
276	548	1431
277	549	1427
278	551	1424
279	552	1420
280	554	1417
281	555	1414
282	556	1410
283	558	1406
284	559	1403
285	561	1400
286	562	1397
287	564	1394
288	565	1391
289	567	1388
290	568	1384
291	569	1381
292	570	1377
293	572	1373
294	573	1370
295	576	1371
296	578	1368
297	579	1365
298	580	1362
299	582	1358
300	583	1355
301	584	1351
302	586	1348
303	587	1345
304	588	1341
305	590	1339
306	592	1336
307	593	1333
308	595	1330
309	596	1327
310	597	1323
311	598	1320
312	599	1316
313	601	1313
314	602	1310
315	603	1306
316	606	1306
317	607	1303
318	609	1300
319	610	1297
320	612	1294
321	613	1291
322	614	1288
323	615	1285
